Device,Test Name,Test Status,Message(s),Test description,Test category
DC1-BORDERLEAF1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
DC1-BORDERLEAF1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
DC1-BORDERLEAF1,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
DC1-BORDERLEAF1,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
DC1-BORDERLEAF1,VerifyReachability,success,,Verifies VTEP fabric-wide underlay reachability.,Connectivity
DC1-BORDERLEAF1,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
DC1-BORDERLEAF1,VerifyReachability,success,,Verifies reachability to BGP neighbors.,Connectivity
DC1-BORDERLEAF1,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
DC1-BORDERLEAF1,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
DC1-BORDERLEAF1,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
DC1-BORDERLEAF1,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
DC1-BORDERLEAF1,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
DC1-BORDERLEAF1,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
DC1-BORDERLEAF1,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
DC1-BORDERLEAF1,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
DC1-BORDERLEAF1,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
DC1-BORDERLEAF1,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
DC1-BORDERLEAF1,VerifyIPv4RoutePresencePerVRF,success,,Verifies that the provided IPv4 prefixes are present in the routing table.,Routing
DC1-BORDERLEAF1,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
DC1-BORDERLEAF1,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
DC1-BORDERLEAF1,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
DC1-BORDERLEAF1,VerifyCoredump,success,,Verifies there are no core dump files.,System
DC1-BORDERLEAF1,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
DC1-BORDERLEAF1,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
DC1-BORDERLEAF1,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
DC1-BORDERLEAF1,VerifyNTP,success,,Verifies if NTP is synchronised.,System
DC1-BORDERLEAF1,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
DC1-BORDERLEAF1,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
DC1-BORDERLEAF2,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
DC1-BORDERLEAF2,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
DC1-BORDERLEAF2,VerifyZeroTouch,success,,Verifies ZeroTouch is disabled.,Configuration
DC1-BORDERLEAF2,VerifyLLDPNeighbors,success,,Verifies the connection status of the specified LLDP (Link Layer Discovery Protocol) neighbors.,Connectivity
DC1-BORDERLEAF2,VerifyReachability,success,,Verifies VTEP fabric-wide underlay reachability.,Connectivity
DC1-BORDERLEAF2,VerifyReachability,success,,Verifies point-to-point reachability between Ethernet interfaces.,Connectivity
DC1-BORDERLEAF2,VerifyReachability,success,,Verifies reachability to BGP neighbors.,Connectivity
DC1-BORDERLEAF2,VerifyIllegalLACP,success,,Verifies there are no illegal LACP packets in port channels.,Interfaces
DC1-BORDERLEAF2,VerifyInterfaceDiscards,success,,Verifies that the interfaces packet discard counters are equal to zero.,Interfaces
DC1-BORDERLEAF2,VerifyInterfaceErrDisabled,success,,Verifies there are no interfaces in the errdisabled state.,Interfaces
DC1-BORDERLEAF2,VerifyInterfaceErrors,success,,Verifies that the interfaces error counters are equal to zero.,Interfaces
DC1-BORDERLEAF2,VerifyInterfaceUtilization,success,,Verifies that the utilization of interfaces is below a certain threshold.,Interfaces
DC1-BORDERLEAF2,VerifyInterfacesStatus,success,,Verifies the operational states of specified interfaces to ensure they match expected configurations.,Interfaces
DC1-BORDERLEAF2,VerifyPortChannels,success,,Verifies there are no inactive ports in port channels.,Interfaces
DC1-BORDERLEAF2,VerifyMlagConfigSanity,success,,Verifies there are no MLAG config-sanity inconsistencies.,MLAG
DC1-BORDERLEAF2,VerifyMlagInterfaces,success,,Verifies there are no inactive or active-partial MLAG ports.,MLAG
DC1-BORDERLEAF2,VerifyMlagStatus,success,,Verifies the health status of the MLAG configuration.,MLAG
DC1-BORDERLEAF2,VerifyIPv4RoutePresencePerVRF,success,,Verifies that the provided IPv4 prefixes are present in the routing table.,Routing
DC1-BORDERLEAF2,VerifyRoutingProtocolModel,success,,Verifies the configured routing protocol model.,Routing
DC1-BORDERLEAF2,VerifySTPCounters,success,,Verifies there is no errors in STP BPDU packets.,STP
DC1-BORDERLEAF2,VerifyAgentLogs,success,,Verifies there are no agent crash reports.,System
DC1-BORDERLEAF2,VerifyCoredump,success,,Verifies there are no core dump files.,System
DC1-BORDERLEAF2,VerifyFileSystemUtilization,success,,Verifies that no partition is utilizing more than 75% of its disk space.,System
DC1-BORDERLEAF2,VerifyMaintenance,success,,Verifies that the device is not currently under or entering maintenance.,System
DC1-BORDERLEAF2,VerifyMemoryUtilization,success,,Verifies whether the memory utilization is below 75%.,System
DC1-BORDERLEAF2,VerifyNTP,success,,Verifies if NTP is synchronised.,System
DC1-BORDERLEAF2,VerifyReloadCause,success,,Verifies the last reload cause of the device.,System
DC1-BORDERLEAF2,VerifyVxlanConfigSanity,success,,Verifies there are no VXLAN config-sanity inconsistencies.,VXLAN
DC1-LEAF1,VerifyBGPPeerSession,success,,Verifies the session state of BGP peers.,BGP
DC1-LEAF1,VerifyRunningConfigDiffs,success,,Verifies there is no difference between the running-config and the startup-config.,Configuration
